,Region,Variable,Year,Unit,Value
9,CHE,Disturbance_intensity >0.9 to <= 1.0,2020,Percentage share,0.013884965373190545
0,GBR,Disturbance_intensity >0 to <= 0.1,2020,Percentage share,0.047985082702761195
1,GBR,Disturbance_intensity >0.1 to <= 0.2,2020,Percentage share,0.03054605188311454
2,GBR,Disturbance_intensity >0.2 to <= 0.3,2020,Percentage share,0.02935067025170164
3,GBR,Disturbance_intensity >0.3 to <= 0.4,2020,Percentage share,0.021401992857677996
4,GBR,Disturbance_intensity >0.4 to <= 0.5,2020,Percentage share,0.01798511045070993
5,GBR,Disturbance_intensity >0.5 to <= 0.6,2020,Percentage share,0.01648283650631127
6,GBR,Disturbance_intensity >0.6 to <= 0.7,2020,Percentage share,0.013272953796890564
7,GBR,Disturbance_intensity >0.7 to <= 0.8,2020,Percentage share,0.016968425609136844
8,GBR,Disturbance_intensity >0.8 to <= 0.9,2020,Percentage share,0.014114271602471787
9,GBR,Disturbance_intensity >0.9 to <= 1.0,2020,Percentage share,0.0800911242636388
